Year,Num.Year,Site,Initials.Site,Site.Type,Num.SiteType,Point,Point.Type,Species,Devel.Guild,Total,Round
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,AMRO,2,2,1
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,BCCH,2,2,1
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,BHGR,2,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,BRCR,1,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,PAWR,1,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,PSFL,1,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,SPTO,2,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,WIWA,1,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,AMRO,2,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,BTPI,2,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,PAWR,1,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,PSFL,1,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,SPTO,2,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,WIWA,1,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,AMRO,2,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,PSFL,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,SPTO,2,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,SWTH,1,2,3
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,WETA,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,WIWA,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,BHGR,2,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,BRCR,1,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,PSFL,1,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,SOSP,2,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,1,Forest,SPTO,2,2,4
1998,1,Cougar Mountain Park,CM,Reserve,1,2,Forest,BCCH,2,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,2,Forest,BRCR,1,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,2,Forest,DEJU,2,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,2,Forest,HAWO,1,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,2,Forest,PAWR,1,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,2,Forest,PSFL,1,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,2,Forest,BTPI,2,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,2,Forest,BTYW,1,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,2,Forest,DEJU,2,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,2,Forest,PAWR,1,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,2,Forest,BCCH,2,2,3
1998,1,Cougar Mountain Park,CM,Reserve,1,2,Forest,PAWR,1,2,3
1998,1,Cougar Mountain Park,CM,Reserve,1,2,Forest,PSFL,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,2,Forest,SPTO,2,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,2,Forest,WAVI,2,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,2,Forest,BCCH,2,2,4
1998,1,Cougar Mountain Park,CM,Reserve,1,2,Forest,PAWR,1,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,2,Forest,PSFL,1,2,4
1998,1,Cougar Mountain Park,CM,Reserve,1,2,Forest,WIWA,1,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,BCCH,2,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,BTPI,2,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,PSFL,1,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,SOSP,2,2,1
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,WIWA,1,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,ANHU,3,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,BCCH,2,2,2
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,SOSP,2,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,SWTH,1,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,WAVI,2,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,WIWA,1,1,2
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,PAWR,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,PSFL,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,SOSP,2,4,3
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,SPTO,2,2,3
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,SWTH,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,WIWA,1,1,3
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,DEJU,2,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,PAWR,1,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,PSFL,1,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,3,Forest,SOSP,2,1,4
1998,1,Cougar Mountain Park,CM,Reserve,1,4,Forest,BTYW,1,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,4,Forest,WIWA,1,1,1
1998,1,Cougar Mountain Park,CM,Reserve,1,4,Forest,SWTH,1,1,2
